sequence	package	architecture	version	archive	sha256
1	libpython3.12-minimal	amd64	3.12.3-1ubuntu0.15	libpython3.12-minimal_3.12.3-1ubuntu0.15_amd64.deb	5d16abf75f5a517c7e68dfbe888ddb40aa95d3b4445b1c223ec5ea23d2b01051
2	libexpat1	amd64	2.6.1-2ubuntu0.4	libexpat1_2.6.1-2ubuntu0.4_amd64.deb	126a5612e652bdc2edee19ae8fe4308db72b5b3b0a5581bf885b44a093baf3e5
3	python3.12-minimal	amd64	3.12.3-1ubuntu0.15	python3.12-minimal_3.12.3-1ubuntu0.15_amd64.deb	487383dc2a895e0a767d820e0e55f2ab7d6ebe4dccd3d2c0b81f00ee11bb1152
4	python3-minimal	amd64	3.12.3-0ubuntu2.1	python3-minimal_3.12.3-0ubuntu2.1_amd64.deb	9ba5dd55cdcf6121c147dc5cb87403169b5933e3a56da0de57774f2ce819cf06
5	media-types	all	10.1.0	media-types_10.1.0_all.deb	31bfb7eec55ab6d34a50ba995150e1498d4cb897714085d8025e330d3b529747
6	netbase	all	6.4	netbase_6.4_all.deb	8cdbc9c3dca01e660759bf9d840f72e45ac72faf5d19ca1faecacaf6a60c1a87
7	tzdata	all	2026c-0ubuntu0.24.04.1	tzdata_2026c-0ubuntu0.24.04.1_all.deb	ef12c9ef81905b5ac558504b2f8c20da9be5f28861020b3fb5e8b15fb3fae2f6
8	readline-common	all	8.2-4build1	readline-common_8.2-4build1_all.deb	879bfd7f8a9bc4c0f7cdc777cdd8bc6de5f8c4a2ac80c060322a1b22f13504bb
9	libreadline8t64	amd64	8.2-4build1	libreadline8t64_8.2-4build1_amd64.deb	563977a16df03b611f5239cc1e9a0426e86479fcc616b5c9e200ea32063119e5
10	libsqlite3-0	amd64	3.45.1-1ubuntu2.7	libsqlite3-0_3.45.1-1ubuntu2.7_amd64.deb	488511119cad001a00f7e00e597112cf743ccfbd3f7a03c82d66237e1bfd82c8
11	libpython3.12-stdlib	amd64	3.12.3-1ubuntu0.15	libpython3.12-stdlib_3.12.3-1ubuntu0.15_amd64.deb	47c3b48809d392570e827cb3cdeacdf750af39fc36619c83337e28cbffea791c
