package	architecture	version	archive	size	sha256	suites	components	repositoryFilename	publishedSha256
autoconf	all	2.71-3	autoconf_2.71-3_all.deb	338946	cc3f9f7a1e576173fb59c36652c0a67c6426feae752b352404ba92dfcb1b26c9	noble	main	pool/main/a/autoconf/autoconf_2.71-3_all.deb	cc3f9f7a1e576173fb59c36652c0a67c6426feae752b352404ba92dfcb1b26c9
automake	all	1:1.16.5-1.3ubuntu1	automake_1%3a1.16.5-1.3ubuntu1_all.deb	558172	5ae9a98e73545002cd891f028859941af2a3c760cb6190e635c7ef36953912de	noble	main	pool/main/a/automake-1.16/automake_1.16.5-1.3ubuntu1_all.deb	5ae9a98e73545002cd891f028859941af2a3c760cb6190e635c7ef36953912de
autotools-dev	all	20220109.1	autotools-dev_20220109.1_all.deb	44886	d909f0327b09d9a9136239caca975df89782fa28efd721c4eb4caea422d3fc5a	noble	main	pool/main/a/autotools-dev/autotools-dev_20220109.1_all.deb	d909f0327b09d9a9136239caca975df89782fa28efd721c4eb4caea422d3fc5a
binutils	amd64	2.42-4ubuntu2.10	binutils_2.42-4ubuntu2.10_amd64.deb	18154	b3b5a84181a38fd191820b2cdcc1a3eeb1cd6333ad472f2092f96e81047e9c74	noble-updates	main	pool/main/b/binutils/binutils_2.42-4ubuntu2.10_amd64.deb	b3b5a84181a38fd191820b2cdcc1a3eeb1cd6333ad472f2092f96e81047e9c74
binutils-common	amd64	2.42-4ubuntu2.10	binutils-common_2.42-4ubuntu2.10_amd64.deb	240286	d136073f5e2153f3df11c1d08d66727b9466b28ff483f50085f14bbe3464b5ee	noble-updates	main	pool/main/b/binutils/binutils-common_2.42-4ubuntu2.10_amd64.deb	d136073f5e2153f3df11c1d08d66727b9466b28ff483f50085f14bbe3464b5ee
binutils-x86-64-linux-gnu	amd64	2.42-4ubuntu2.10	binutils-x86-64-linux-gnu_2.42-4ubuntu2.10_amd64.deb	2462744	1e510a15f30208d39edcd840e48f26a77bbca7c417805eeccb1e3f7de198ef29	noble-updates	main	pool/main/b/binutils/binutils-x86-64-linux-gnu_2.42-4ubuntu2.10_amd64.deb	1e510a15f30208d39edcd840e48f26a77bbca7c417805eeccb1e3f7de198ef29
build-essential	amd64	12.10ubuntu1	build-essential_12.10ubuntu1_amd64.deb	4928	9b2159b95a4c01937309783c7c8a6ec8dfbcb7ffd604951c9713ac52ee9c7268	noble	main	pool/main/b/build-essential/build-essential_12.10ubuntu1_amd64.deb	9b2159b95a4c01937309783c7c8a6ec8dfbcb7ffd604951c9713ac52ee9c7268
bzip2	amd64	1.0.8-5.1build0.1	bzip2_1.0.8-5.1build0.1_amd64.deb	34534	71c02f8f7541a2a57f0f3545ee826ad9778e665c5c457f34aca9e71abdc1a22b	noble-updates	main	pool/main/b/bzip2/bzip2_1.0.8-5.1build0.1_amd64.deb	71c02f8f7541a2a57f0f3545ee826ad9778e665c5c457f34aca9e71abdc1a22b
ca-certificates	all	20260601~24.04.1	ca-certificates_20260601~24.04.1_all.deb	139430	6bac2a01979e210d9eac1d4d56747ec709ea60654744d66705dc3c36e7629e50	noble-security,noble-updates	main	pool/main/c/ca-certificates/ca-certificates_20260601~24.04.1_all.deb	6bac2a01979e210d9eac1d4d56747ec709ea60654744d66705dc3c36e7629e50
ca-certificates-java	all	20240118	ca-certificates-java_20240118_all.deb	11624	6d5859b713371c4725cf8deca131685067219ffa30129a6c5b09d53ff63d40e9	noble	main	pool/main/c/ca-certificates-java/ca-certificates-java_20240118_all.deb	6d5859b713371c4725cf8deca131685067219ffa30129a6c5b09d53ff63d40e9
cpp	amd64	4:13.2.0-7ubuntu1	cpp_4%3a13.2.0-7ubuntu1_amd64.deb	22442	b51f8094760f7b41afdcb1fe1b5a57fc64b75a090859918af17450a10f8c7d31	noble	main	pool/main/g/gcc-defaults/cpp_13.2.0-7ubuntu1_amd64.deb	b51f8094760f7b41afdcb1fe1b5a57fc64b75a090859918af17450a10f8c7d31
cpp-13	amd64	13.3.0-6ubuntu2~24.04.1	cpp-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	1042	c7535331fbb183c802c3bf4b6b210872dcc12d0421b3212b3c4b940f2c59ed3a	noble-security,noble-updates	main	pool/main/g/gcc-13/cpp-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	c7535331fbb183c802c3bf4b6b210872dcc12d0421b3212b3c4b940f2c59ed3a
cpp-13-x86-64-linux-gnu	amd64	13.3.0-6ubuntu2~24.04.1	cpp-13-x86-64-linux-gnu_13.3.0-6ubuntu2~24.04.1_amd64.deb	10714542	2ca48bf0c2d6465bc39322899715a85d934b4d7442dd5586a7bebbe3ce0f806b	noble-security,noble-updates	main	pool/main/g/gcc-13/cpp-13-x86-64-linux-gnu_13.3.0-6ubuntu2~24.04.1_amd64.deb	2ca48bf0c2d6465bc39322899715a85d934b4d7442dd5586a7bebbe3ce0f806b
cpp-x86-64-linux-gnu	amd64	4:13.2.0-7ubuntu1	cpp-x86-64-linux-gnu_4%3a13.2.0-7ubuntu1_amd64.deb	5326	85059b30960de3582e8612740614da3dfe47241d0368a28dea686188cf7648dd	noble	main	pool/main/g/gcc-defaults/cpp-x86-64-linux-gnu_13.2.0-7ubuntu1_amd64.deb	85059b30960de3582e8612740614da3dfe47241d0368a28dea686188cf7648dd
dpkg-dev	all	1.22.6ubuntu6.6	dpkg-dev_1.22.6ubuntu6.6_all.deb	1074218	70da073557dbed76dc14eb1e682e7ec30fcb736f3d98812490a4c785b4c481cb	noble-security,noble-updates	main	pool/main/d/dpkg/dpkg-dev_1.22.6ubuntu6.6_all.deb	70da073557dbed76dc14eb1e682e7ec30fcb736f3d98812490a4c785b4c481cb
file	amd64	1:5.45-3build1	file_1%3a5.45-3build1_amd64.deb	22042	17dae1d6e803d0304e318f451c8abf62cbd5bb2a0068300cdeea77c62075b895	noble	main	pool/main/f/file/file_5.45-3build1_amd64.deb	17dae1d6e803d0304e318f451c8abf62cbd5bb2a0068300cdeea77c62075b895
g++	amd64	4:13.2.0-7ubuntu1	g++_4%3a13.2.0-7ubuntu1_amd64.deb	1100	800a84b369c64b18d65f0fb5c1533de0446c880ee4f1cadad64e3363327f63f0	noble	main	pool/main/g/gcc-defaults/g++_13.2.0-7ubuntu1_amd64.deb	800a84b369c64b18d65f0fb5c1533de0446c880ee4f1cadad64e3363327f63f0
g++-13	amd64	13.3.0-6ubuntu2~24.04.1	g++-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	16048	0f3ef964b8a91a9cd7bebfd126839a21941c55547cadcf4aa00204bc8cc43985	noble-security,noble-updates	main	pool/main/g/gcc-13/g++-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	0f3ef964b8a91a9cd7bebfd126839a21941c55547cadcf4aa00204bc8cc43985
g++-13-x86-64-linux-gnu	amd64	13.3.0-6ubuntu2~24.04.1	g++-13-x86-64-linux-gnu_13.3.0-6ubuntu2~24.04.1_amd64.deb	12161938	0bd6af6164252d4ea9170d201ee4c10a3120fe0fc04985a00be3bc9076353844	noble-security,noble-updates	main	pool/main/g/gcc-13/g++-13-x86-64-linux-gnu_13.3.0-6ubuntu2~24.04.1_amd64.deb	0bd6af6164252d4ea9170d201ee4c10a3120fe0fc04985a00be3bc9076353844
g++-x86-64-linux-gnu	amd64	4:13.2.0-7ubuntu1	g++-x86-64-linux-gnu_4%3a13.2.0-7ubuntu1_amd64.deb	964	145b027a542db5b21f85d4f9e242f51c62c69914fc484adb3a4881ca8e2f3913	noble	main	pool/main/g/gcc-defaults/g++-x86-64-linux-gnu_13.2.0-7ubuntu1_amd64.deb	145b027a542db5b21f85d4f9e242f51c62c69914fc484adb3a4881ca8e2f3913
gcc	amd64	4:13.2.0-7ubuntu1	gcc_4%3a13.2.0-7ubuntu1_amd64.deb	5018	0e0bb8b25153ed1c44ab92bc219eed469fcb5820c5c0bc6454b2fd366a33d3ee	noble	main	pool/main/g/gcc-defaults/gcc_13.2.0-7ubuntu1_amd64.deb	0e0bb8b25153ed1c44ab92bc219eed469fcb5820c5c0bc6454b2fd366a33d3ee
gcc-13	amd64	13.3.0-6ubuntu2~24.04.1	gcc-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	494262	7438ff160b020a74970672189ecae25d0ca650de6d7f543f12a3134192cffbd9	noble-security,noble-updates	main	pool/main/g/gcc-13/gcc-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	7438ff160b020a74970672189ecae25d0ca650de6d7f543f12a3134192cffbd9
gcc-13-base	amd64	13.3.0-6ubuntu2~24.04.1	gcc-13-base_13.3.0-6ubuntu2~24.04.1_amd64.deb	51616	e859aca26585bb91113a451f1e66bc0e5283cb08797d679aacc1d936ae6dff8e	noble-security,noble-updates	main	pool/main/g/gcc-13/gcc-13-base_13.3.0-6ubuntu2~24.04.1_amd64.deb	e859aca26585bb91113a451f1e66bc0e5283cb08797d679aacc1d936ae6dff8e
